# Bitácora de corridas. Append-only, se commitea, no se edita una fila vieja.
#
# Vive acá y no en el bundle porque mide el MOTOR, no los datos del cliente. La regla es que
# los casos viven en `okf/successo-okf/evals/` y las mediciones acá: si el bundle cambia de
# manos, los casos se van con él y esta historia se queda con el código que la produjo.
#
# Una fila por arm por corrida. `·` = la columna no aplica a esa medición.
#
#   fecha     ISO corto.
#   sha       el commit que TIENE el cambio. `-dirty` si el árbol estaba sucio al correr.
#   palanca   qué se movió. Una sola por corrida, o el Δ no es de nadie.
#   arm       la variante. El baseline es el arm que restaura el comportamiento previo.
#   n         repeticiones. n=1 no decide nada, n=3 primera lectura, n=6 para un default.
#   spent     tokens medios por pregunta.
#   turnos    len(said) medio. Un total sin esto no se compara.
#   aciertos  de evals.py, sobre el subset que hayas corrido.
#   fallos    corridas que murieron (out.fails). Una corrida muerta no es un fallo de calidad.
#   nota      qué se decidió y por qué. Sin esto la fila es un número sin dueño.
#
# Lo que NO va acá: un hecho contable sobre el corpus. Que `mosca blanca` traía 6 de 23 líneas
# no es una corrida, es un conteo, y su lugar es el docstring del test que lo fija.
fecha	sha	palanca	arm	n	spent	turnos	aciertos	fallos	nota
2026-09-10	f865e78	esquema_dos_puntos	sin	6	129326	5	·	0	la misma frase partida en dos oraciones: "...el dato duro. Ese bloque trae `crops`...". 6/6. Único cambio, mismo corpus, misma ronda. Las dos mitades del ESQUEMA por separado también dan 6/6, y juntas también: lo único que rompía era esa frase.
2026-09-10	f865e78	(control)	wiki_misma_ronda	6	6554	6	6/6	0	karbo-precio con evals.py mientras agro daba 0/6. Es el control que dice que la ronda estaba sana y el problema era el preámbulo de agro. Con --recurse, que agrega el note() de delegación al preámbulo, también 6/6: el bloque ```python del note no es la palanca.
2026-09-10	f865e78	(linea_base)	agro_evals	3	23034	8.0	8/9	6	primera corrida de la suite agronómica, 9 casos. 18 de 21 corridas vivas. zompopo-fuera-de-catalogo falla siempre y se inventa tres fichas (beaveria-90, isaria-forte, metarhizium-50) en vez de decir que el catálogo no cubre la plaga: es el modo de falla que persigue todo el repo, y lo agarró inventada(). Las 6 perdidas se concentran en las preguntas de safety.
2026-09-10	f865e78	cache_implicita	(medicion)	3	·	·	·	0	volcado del usageMetadata crudo de 15 llamadas en 3 corridas de agro.py, 6 de ellas con el prompt byte a byte idéntico: cachedContentTokenCount NO aparece nunca. promptTokenCount va de 1372 a 14010, o sea debajo del piso de la caché implícita, que es lo que se espera de un RLM donde el corpus no entra al prompt. El confound que las dos skills declaraban no existe hoy. Vuelve si el preámbulo engorda.
2026-09-10	7647bdf	(linea_base)	agro_openai	1	12883	7	·	0	punto de referencia del segundo proveedor, no un A/B: la misma pregunta que la fila de arriba ('tengo mosca blanca en tomate') contra gpt-5.6-luna con reasoning_effort=low. Contestó Metaveria 40 EW 1.0-2.14 L/ha y además descartó Segador por cultivo no certificado, con tres FUENTE. La mitad de tokens y dos turnos menos que Gemini, y eso NO decide nada: n=1, y la vara de este adaptador es la disponibilidad con el otro caído, no el delta con los dos sanos. Primera vez que el adaptador habla con la API real.
2026-09-10	3009a14	proveedor	luna_low	3	18638	5.7	9/9	0	gpt-5.6-luna con reasoning_effort=low, la suite agronómica entera. El baseline es la fila (linea_base) agro_evals de f865e78: mismas 9 preguntas, mismo n, mismo código salvo el proveedor (los commits del medio solo tocan bitacora, skills y openai.py). Δ: 27/27 corridas vivas contra 18/21, o sea CERO muestras perdidas contra 6 turnos vacíos de Gemini. 9/9 estables contra 8/9: zompopo-fuera-de-catalogo, que Gemini fallaba siempre inventando tres fichas, acá pasa las 3 veces y no inventa ninguna ruta. 18638 tokens medios contra 23034 y 5.7 turnos contra 8.0. n=3 es primera lectura, no un default: para eso n=6.
2026-09-10	a5a81cf	grep_doc	con_doc	3	7788	4.2	6/9	0	el baseline es la fila de arriba, arm luna_low, mismo proveedor y mismas preguntas. Δ costo enorme y en la dirección esperada: 7788 tokens medios contra 18638 (-58%), 4.2 turnos contra 5.7, y el patrón anclado en la ruta que devolvía cero desapareció (6 apariciones en el baseline, 0 acá). viventem-mz-ausente, que se llevaba 223 mil tokens, bajó a 26 mil. Fuera de ese caso el ahorro sigue siendo -34%, o sea no es un solo caso. PERO 3 casos que eran 3/3 flipan a 2/3 y los tres fallan igual, sin consultar el contexto: uno pide aclaración, otro filtra su razonamiento crudo al turno final, otro alucina que no tiene herramienta de ejecución. Tres formas distintas, una vez cada una. El gate de cero regresiones lo bloquea hasta profundizar los flippers a n=6 en los dos arms.
2026-09-10	ab752e2-dirty	plan_por_verbos	sin_plan	1	132633	7	·	0	baseline nuevo para el par de abajo, no comparable con la fila (linea_base) agro de 9057b19: misma pregunta pero con grep_doc ya adentro y contra gemini, que es el proveedor que pierde muestras. 'tengo mosca blanca en tomate, que uso'. Contesto Metaveria 40 EW 1.0-2.14 L/ha con dos FUENTE y descarto Segador por cultivo no certificado.
2026-09-10	ab752e2-dirty	plan_por_verbos	con_plan	1	95362	14	·	0	la misma pregunta con --plan: semilla de 5 pasos, 3 con compuerta. El modelo USA los verbos sin que se los nombre en el preambulo (llamo a mark() en 2 bloques) y el plan cerro 5/5, con cito_la_fuente cerrandose sobre el mensaje final. La respuesta cubre los cinco puntos del CONTRATO, que es lo que el plan exige. Δ: -28% tokens y el doble de turnos, o sea pasos mas chicos, y perdio uno entero en un grep(min_line=...) que no existe. n=1 en los dos arms y gemini varia sola entre corridas: esto NO decide nada, es la prueba de que el mecanismo anda contra un modelo de verdad. La escalera va con --openai --repeats=3, que es el proveedor que no pierde muestras, y ahi el gate es cero regresiones sobre los 9 casos.
2026-09-12	084475e-dirty	cabecera_por_documento	por_linea	3	9748	5.2	6/9	0	baseline nuevo, no comparable con la fila luna_low de 3009a14: desde ahí entraron doc= en HERRAMIENTAS y la célula grounded, ninguno medido en suite con luna. 24/27 corridas vivas. Los 3 flips (segador-tomate #3, segador-fungicida #2, rodenticida #2) tienen la misma forma: cerró en prosa anunciando que iba a consultar, sin stdout del REPL, y grounded lo etiquetó. Ningún resultado de grep llegó al modelo en esas corridas.
2026-09-12	084475e-dirty	cabecera_por_documento	por_documento	3	9547	5.5	9/9	0	la línea === ruta === no cuenta ni se imprime, la primera línea dice en qué documentos y cuántas en cada uno, y una cabecera que casa se nombra sin sumarse. 27/27 vivas y 0 regresiones: pasa el gate. Contra el baseline: -2% tokens, +0.3 turnos, 52 consultas contra 46, o sea plano, que era lo esperado (bajo el tope las cabeceras eran líneas baratas). Los 3 flips del baseline NO se le atribuyen: son corridas sin grep, y 3 de 27 contra 0 de 27 es p=0.24. La palanca se embarca por el número correcto (39 de 120 hits de 'productos' eran cabeceras) y por el resumen por documento, no por el eval. Es el baseline para --citas.
2026-09-12	db3baca	cita_cerrada	con_cita	3	12576	5.7	9/9	0	con --citas; el baseline (arm sin_cita) es la fila por_documento de arriba, mismo código y mismo día. 27/27 vivas, 0 fantasmas. +32% tokens con 5.7 turnos, y evals.py no decía si la célula habló, así que la fila sola no se lee. Se agregó el conteo de avisos por célula a evals.py y se repitió abajo.
2026-09-12	db3baca-dirty	cita_cerrada	con_cita	3	11294	5.0	8/9	0	repetición con el conteo: [cita] 0 en 27 corridas, la célula nunca habló, así que el +18% de tokens no es de ella. Tres corridas del mismo código el mismo día (9547, 12576, 11294) fijan el piso de ruido de spent a n=3 en ±30%: un Δ de tokens menor que eso no se lee. El flip es espartano-mz-trips #3, cerró sin prosa ni código y grounding lo etiquetó; no es de la palanca. Con luna la célula es seguro y no cura, como decía el todo: 0 fantasmas en los tres arms. Queda embarcada como flag; pasar a default pide n=6 por regla, y con la célula muda es plata para confirmar un cero.
2026-09-12	95ab6ba-dirty	ontologia_como_dato	objetivos_v1	3	11401	6.0	9/9	0	con --ontologia: `objetivos` en el REPL (la tabla de ontologia/objetivos.md parseada: id, etiqueta, padre, alias, nota) y la primera viñeta del CONTRATO diciendo que el id es el de `plagas`. 27/27 vivas, [grounding] 4, plano contra el baseline con_cita del mismo día. Dos fricciones en la traza: 5 de 27 corridas hicieron grep(objetivos, ...) sobre la lista (AttributeError, un turno perdido), y en rodenticida #1 el modelo escribió el join contra `plagas` mal (dict contra lista de ids), obtuvo cero y se recuperó por grep en 15 turnos y 43k tokens.
2026-09-12	95ab6ba-dirty	ontologia_como_dato	objetivos_v2	3	8795	5.1	7/9	0	la viñeta ahora dice la forma (lista de dicts, plagas es lista de dicts con id, se filtra con Python y no con grep). grep sobre la lista: 0. Pero rodenticida 1/3: el modelo resuelve rata-alcantarilla en `objetivos`, hace el join mal otra vez, y CIERRA con "el catálogo contempla ratas pero ningún producto las cubre". Con la hoja como texto ese cero no existía, grep('rata') caía en la ficha. Un dato que abre un camino nuevo a un falso cero es peor que el texto. [grounding] 11, viventem flip es el flake de luna.
2026-09-12	95ab6ba-dirty	ontologia_como_dato	objetivos_v3	3	7493	4.5	5/9	0	el join lo hace agro.py: cada concepto trae `fichas`, las rutas de los productos que lo cubren, con los hijos adentro (la regla de padre de FORMATO.md). Los tres casos objetivo 9/9: zompopo 3/3/3 turnos y ~4.2k tokens (mira objetivos, mira el texto, dice que no), cogollero 5/5/5, rodenticida 7/7/5. Los 5 MAL son todos "no tengo una herramienta para ejecutar el bloque", el flake de luna: [grounding] 8, y el baseline corrido a la misma hora (fila siguiente) da 10. Sin regresión atribuible.
2026-09-12	621b99e-dirty	ontologia_como_dato	baseline_misma_hora	3	9493	5.1	7/9	0	el default, sin --ontologia, corrido a la misma hora que v3 para separar el flake de la viñeta: [grounding] 10, 3 MAL con el mismo texto "no puedo ejecutar el bloque en este entorno". Los tres objetivo 9/9 también: zompopo 5/5/13 turnos, cogollero 3/3/3 (grep('cogollo') cae en la ficha directo), rodenticida 5/3/7. Y a mano, 3 corridas por arm de "insectos masticadores en el maíz", el único padre que ninguna ficha nombra: baseline 3/3 con 1-3 consultas (grep 'masticador' cae en las filas de ontologia/, baja al hijo, grep en fichas), arm 2/3 más un flake. Veredicto: la ontología ya es dato para grep porque está en el corpus y la cabecera por documento la distingue de una ficha; `objetivos` compra que zompopo cierre en 3 turnos siempre y cuesta un turno donde el texto pegaba directo. No mueve aciertos y el Δ de tokens (-21%) está en el piso de ruido. Queda como flag, no default.
2026-09-13	2ee1c8f	turno_es_bloque	baseline	3	13443	6.3	9/9	0	baseline para la línea del preámbulo, corrido seguido del arm. 27/27 vivas, 0 fantasmas, [grounding] 11: en 11 de 27 corridas luna cierra el turno 1 en prosa anunciando que va a consultar, sin bloque, y se recupera con el empujón. El mecanismo está aislado con 8 pedidos idénticos al primer turno, JSON crudo: en la wiki 0 de 8 escriben código con la línea actual ("Voy a consultar la wiki..." y finish=stop, 4 tokens de razonamiento), en agro 5 de 8. reasoning_effort=medium no lo mueve (0/8). Un sufijo en el turno del usuario lo empeora: ahí dice "no tengo la herramienta de ejecución". Luna se comporta como modelo de tool-calling que espera emitir una llamada y no tiene ninguna declarada.
2026-09-13	2ee1c8f-dirty	turno_es_bloque	turno_entero	3	18761	6.9	9/9	0	la línea "Para consultarlo, escribe UN bloque de código Python cercado" pasa a "tu turno entero es UN bloque de código Python cercado y nada más". Primer turno a n=8: wiki 0/8 -> 8/8, agro 5/8 -> 7/8 (el que falta es un turno vacío). De las tres frases probadas es la única que trabaja: "No hay otra herramienta: el bloque ES la consulta" da 0/8, "en el siguiente turno" 2/8, "sin prosa antes: el turno de consulta es el bloque" 4/8. En la suite: [grounding] 11 -> 0, 27/27 vivas, gate limpio. PERO +40% tokens (13.4k -> 18.8k), turnos 6.3 -> 6.9, consultas 60 -> 80, y no es un flake: cogollero 9.5k -> 24.6k, espartano-mz-trips 12.3k -> 36.8k y segador-tomate 13.3k -> 28.1k en las tres vueltas, mientras viventem 21k -> 8k y zompopo 11k -> 7k. Hipótesis: "y nada más" choca con el contrato de terminación (prosa = terminé) y el modelo explora de más antes de animarse a la prosa. Sin transcripciones de la suite no se confirma. Vector: fiabilidad del turno 1 resuelta (y en la wiki es la diferencia entre andar y no andar), costo +40% en agro sobre un piso de ruido de ±30%. No es default por costo; queda la línea en el árbol sin commitear para decidir.
2026-09-13	2ee1c8f-dirty	dos_pasos	baseline	3	9150	4.6	8/9	0	baseline para el grep en dos pasos, corrido seguido del arm, con la línea del preámbulo de HEAD (la de turno_entero quedó fuera del árbol para esta medición). 25/27 vivas, 0 fantasmas, [grounding] 6. Flipa viventem-mz-ausente (2/3), las dos MAL son de 3k tokens y 3 a 5 turnos, sin consultar la ficha. El modelo casi no usa grep: de 42 consultas, 36 empiezan por `productos` y 7 por grep, con doc= en 1. Ojo con el nivel: esta tarde el mismo código dio 13.4k de media y ahora 9.2k, así que el único número que vale es el del arm de al lado.
2026-09-13	2ee1c8f-dirty	dos_pasos	dos_pasos	3	9537	5.1	8/9	0	grep sin doc= devuelve solo la cabecera (en qué documentos y cuántas líneas en cada uno) y aparece read(texto, doc) que trae el documento entero, sin numerar, con el rango de líneas adelante; con doc= grep sigue mostrando las líneas. Cambia HERRAMIENTAS por HERRAMIENTAS_DOS_PASOS y nada más del prompt. Resultado: 8/9 estables como el baseline, 26/27 vivas (25/27), mismo caso flipa (viventem #1, 3.4k tokens, sin consultar), +4% tokens (dentro del ±30%), turnos 4.6 -> 5.1, consultas 42 -> 48, [grounding] 7 (6), [cita] 1 que se corrigió sola. El modelo lee: 15 read en 27 corridas (espartano 4, objetivos 3, viventem/segador/rodenticida 2, novermo 1), grep 6, doc= 2. Por caso no es parejo: cogollero, espartano-mz-trips y rodenticida suben 20-40% (pagan la ficha entera, 2 a 3.6k tokens), espartano-agua-ph y zompopo bajan a la mitad (una lectura reemplaza varias consultas de 50 líneas). En el humo de cogollero la respuesta trajo la equivalencia por manzana y el bloque de seguridad enteros, que acierta() no mide. Veredicto: ni gana ni pierde en los números; queda como flag hasta que se decida por diseño o a n=6.
2026-09-13	102beac	eje_tipo	baseline	3	17842	6.6	8/10	0	baseline para la viñeta de tipo de producto, con el caso nuevo novicor-tratamiento-agua ya en agro.tsv (10 casos). Motivo: la pregunta compuesta "roya de café, gallina ciega, tratamiento del agua" dio Novicor 1/3, el modelo busca `corrector de pH|buffer|acidificante` y la ficha dice "corrector de dureza", "buferiza". 28/30 vivas, 0 fantasmas, 84 consultas. Flipan novicor (2/3: 14.8k, 47k y la caída a 97k tokens sin pasos a los 12, buscando la palabra) y cogollero (2/3, cerró sin FUENTE). Sola, la pregunta del agua le va mejor que en la compuesta, pero cuesta: Novicor se encuentra a fuerza de grep.
2026-09-13	102beac-dirty	eje_tipo	tags_en_contrato	3	18368	6.9	10/10	0	una viñeta nueva en el CONTRATO, después de la de buscar: si piden un tipo de producto y no una plaga, el eje es `tags` en `productos`, listalos todos y elegí, y tipos-producto.md tiene los alias. Nada en el preámbulo (prior 3), ningún builtin. Resultado: 10/10 estables (8/10), 30/30 vivas, 0 fantasmas, 89 consultas (84), +3% tokens (ruido), turnos 6.6 -> 6.9. Novicor 3/3 a 11k, 30k y 28k tokens: el modelo hace sorted({tag for p in productos ...}) y read(tipos-producto.md) y llega. Cogollero también 3/3, que es ruido a favor. Los últimos 15 s de la corrida solaparon con la edición de las 24 fichas de all_crops; los 4 runs de ese tramo (zompopo, novicor) no tocan cultivos. Veredicto: default.
2026-09-13	102beac-dirty	all_crops	despues	3	14619	6.1	10/10	0	el corpus cambió, no el motor: las 24 fichas con lista pasaron de listed_crops_only a all_crops y `crops` salió del perfil (successo-okf fdf7184). En agro.py, `cultivos` sale de resolver certified_crops por cultivos.md y da byte a byte lo mismo que daba `crops` (0 fichas difieren), ESQUEMA dice `crop_scope` donde decía `crops`. Baseline: la fila tags_en_contrato de arriba, mismo día. Resultado: 10/10 estables, 30/30 vivas, 0 fantasmas, 77 consultas (89), 14.6k tokens (18.4k, -20%, adentro del ±30%), turnos 6.9 -> 6.1. Del lado wiki royano-tomate 3/3. Leída en crudo segador-tomate-no-certificado: dice que tomate no está en certified_crops, da la dosis de los certificados y la seguridad, y NO nombra el alcance all_crops; correcto por el criterio, pero la separación registro/alcance que el CONTRATO ya pide sigue sin salir sola. Si se quiere que la diga, es otra palanca.
